nitrogen,phosporous,potassium,ec,ph,temp,hum
50,70,140,702,7,28.1,17.2
49,69,139,702,7,28.1,17.2
50,70,142,712,7,28.1,17.2
50,70,141,707,7,28.1,17.3
50,70,141,692,7,28.1,17.3
50,70,141,707,7,28.1,17.4
49,69,139,692,7,28.1,17.4
49,69,139,697,7,28.1,17.4
50,69,139,697,7,28.1,17.3
50,70,139,697,7,28.1,17.3
49,70,140,702,7,28.1,17.3
50,70,140,707,7,28.1,17.3
50,70,138,692,7,28.1,17.2
50,70,140,702,7,28.1,17.3
50,70,141,707,7,28.1,17.3
50,70,141,702,7,28.1,17.3
49,69,140,702,7,28.1,17.2
50,70,140,702,7,28.1,17.3
49,69,138,702,7,28.1,17.2
50,70,140,702,7,28.1,17.2
49.7,69.7,139.9,701.25,7,28.1,17.28
