nitrogen,phosporous,potassium,ec,ph,temp,hum
8,11,23,116,7,27.3,15.4
8,11,23,117,7,27.3,15.5
8,11,23,116,7,27.3,15.4
8,11,23,115,7,27.3,15.6
8,11,23,116,7,27.3,15.4
8,11,23,117,7,27.3,15.4
8,11,23,117,7,27.3,15.4
8,11,23,117,7,27.3,15.5
8,11,23,116,7,27.3,15.5
8,11,23,117,7,27.3,15.6
8,11,23,117,7,27.3,15.5
8,11,23,116,7,27.3,15.5
8,11,23,117,7,27.3,15.5
8,11,23,117,7,27.3,15.4
8,11,23,117,7,27.3,15.5
8,11,23,117,7,27.3,15.4
8,11,23,116,7,27.3,15.5
8,11,23,116,7,27.3,15.6
8,11,23,117,7,27.3,15.6
8,11,23,116,7,27.3,15.4
8,11,23,116.5,7,27.3,15.48
