nitrogen,phosporous,potassium,ec,ph,temp,hum
56,78,157,780,7.55,28.1,16.5
57,80,159,797,7.55,28.1,16.7
56,79,158,786,7.48,28.1,16.6
57,80,158,791,7.4,28.1,16.7
55,78,157,786,7.23,28.1,16.5
57,80,158,791,7.23,28.1,16.7
57,80,160,802,7.16,28.1,16.6
56,79,158,802,7.16,28.1,16.7
57,80,159,797,7.16,28.1,16.6
56,79,158,802,7.16,28.1,16.6
56,79,159,797,7.16,28.1,16.4
57,79,159,797,7.16,28.1,16.7
56,79,156,780,7.16,28.1,16.6
56,79,158,791,7.16,28.1,16.6
57,80,160,802,7.16,28.1,16.5
57,80,159,797,7.16,28.1,16.5
56,78,157,786,7.16,28.1,16.5
57,80,160,802,7.16,28.1,16.6
56,79,158,791,7.16,28.1,16.6
56,79,159,786,7.16,28.1,16.6
56.4,79.25,158.35,793.15,7.234,28.1,16.59
