nitrogen,phosporous,potassium,ec,ph,temp,hum
40,56,112,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,564,7,28.1,16.1
40,56,113,565,7,28.1,16
40,56,113,565,7,28.1,16.1
40,56,113,564,7,28.1,16.1
40,56,112,564,7,28.1,16.2
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,112,564,7,28.1,16.1
40,56,113,565,7,28.1,16.2
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16.1
40,56,113,565,7,28.1,16
40,56,112.85,564.8,7,28.1,16.1
