nitrogen,phosporous,potassium,ec,ph,temp,hum
72,100,201,1008,7,28.1,20.3
73,102,205,1025,7,28.1,20.2
72,100,206,1033,7,28.1,20.2
71,100,200,1016,7,28.1,20.2
73,102,203,1016,7,28.1,20.3
72,103,206,1033,7,28.1,20.3
72,101,206,1033,7,28.1,20.2
73,102,205,1025,7,28.1,20.3
72,100,201,1000,7,28.1,20.3
73,103,203,1016,7,28.1,20.3
73,101,203,1033,7,28.1,20.3
73,103,206,1033,7,28.1,20.2
72,102,205,1025,7,28.1,20.3
72,101,208,1041,7,28.1,20.3
73,103,206,1033,7,28.1,20.3
73,103,206,992,7,28.1,20.3
74,104,205,1025,7,28.1,20.3
74,100,201,1016,7,28.1,20.3
73,102,201,1008,7,28.1,20.3
73,104,208,1041,7,28.1,20.3
72.65,101.8,204.25,1022.6,7,28.1,20.275
