nitrogen,phosporous,potassium,ec,ph,temp,hum
173,233,466,2364,5.9,27,30.3
171,239,472,2364,5.9,27,30
171,236,472,2364,5.9,27,29.9
173,242,485,2427,5.9,27,29.8
168,236,485,2427,5.9,27,29.9
168,236,472,2427,5.9,27,30
171,239,485,2427,5.9,27,30
173,236,472,2333,5.9,27,30.3
171,239,479,2395,5.9,27,30.1
180,249,498,2494,5.9,27,30
175,246,492,2427,5.9,27,29.9
168,236,479,2395,5.9,27,30
168,236,472,2427,5.9,27,29.9
180,252,492,2461,5.9,27,30.1
168,239,479,2333,5.9,27,30.2
175,246,498,2494,5.9,27,30.1
180,246,492,2461,5.9,27,30
173,242,485,2395,5.9,27,29.9
180,252,498,2494,5.9,27,30
175,246,492,2395,5.9,27,30
173.05,241.3,483.25,2415.2,5.9,27,30.02
