nitrogen,phosporous,potassium,ec,ph,temp,hum
64,87,175,877,6.08,28.1,18.6
63,89,179,897,6.08,28.1,18.6
63,89,178,890,6.08,28.1,18.6
62,87,175,864,6.08,28.1,18.4
63,88,175,877,6.08,28.1,18.6
63,88,176,877,6.08,28.1,18.6
64,89,179,897,6.08,28.1,18.6
63,87,174,884,6.08,28.1,18.6
61,86,176,884,6.08,28.1,18.6
63,87,174,870,6.08,28.1,18.6
64,89,179,877,6.08,28.1,18.6
63,88,175,877,6.08,28.1,18.5
63,89,178,897,6.08,28.1,18.6
61,86,171,857,6.08,28.1,18.6
63,89,178,897,6.08,28.1,18.5
63,89,176,884,6.08,28.1,18.6
64,87,175,877,6.08,28.1,18.6
64,90,180,897,6.08,28.1,18.6
63,89,175,877,6.08,28.1,18.5
62,87,174,864,6.08,28.1,18.6
62.95,88,176.1,881.05,6.08,28.1,18.575
