nitrogen,phosporous,potassium,ec,ph,temp,hum
22,31,63,316,7,28.1,15.1
22,31,63,316,7,28.1,15.3
22,31,63,319,7,28.1,15.1
22,32,64,320,7,28.1,15.3
22,31,63,317,7,28.1,15.2
22,31,63,317,7,28.1,15.2
22,31,63,316,7,28.1,15.1
22,31,63,318,7,28.1,15.3
22,31,63,317,7,28.1,15.2
22,31,63,316,7,28.1,15.2
23,32,64,321,7,28.1,15.3
22,31,63,319,7,28.1,15.2
22,31,63,315,7,28.1,15.2
22,31,63,318,7,28.1,15.3
22,31,63,321,7,28.1,15.3
22,31,64,321,7,28.1,15.3
22,32,64,322,7,28.1,15.3
22,32,64,322,7,28.1,15.3
22,32,64,323,7,28.1,15.1
22,32,64,321,7,28.1,15.2
22.05,31.3,63.35,318.75,7,28.1,15.225
