nitrogen,phosporous,potassium,ec,ph,temp,hum
14,20,41,206,7,28.5,14.9
14,20,41,205,7,28.5,15.1
14,20,41,208,7,28.5,15.1
14,20,41,206,7,28.5,15.1
14,20,41,206,7,28.5,15
14,20,40,204,7,28.5,15.1
14,20,41,207,7,28.5,15
14,20,41,206,7,28.5,15
14,20,41,208,7,28.5,15
14,20,41,206,7,28.5,15.1
14,20,41,208,7,28.5,15.1
14,20,41,204,7,28.5,15.1
14,20,41,208,7,28.5,15.1
14,20,41,206,7,28.5,15
14,20,41,206,7,28.5,15
14,20,41,206,7,28.5,15
14,20,41,206,7,28.5,15
14,20,41,207,7,28.5,15.1
14,20,41,204,7,28.5,15.1
14,20,41,205,7,28.5,15.1
14,20,40.95,206.1,7,28.5,15.05
