nitrogen,phosporous,potassium,ec,ph,temp,hum
27,38,76,383,7,28.5,14.7
27,38,76,379,7,28.5,14.7
27,38,76,383,7,28.5,14.7
27,38,76,383,7,28.5,14.7
27,38,76,382,7,28.5,14.7
27,37,75,381,7,28.5,14.7
27,38,76,382,7,28.5,14.8
27,38,76,383,7,28.5,14.7
27,38,76,383,7,28.5,14.6
27,38,76,383,7,28.5,14.7
27,38,76,380,7,28.5,14.8
27,38,76,382,7,28.5,14.7
27,38,76,380,7,28.5,14.7
27,38,76,384,7,28.5,14.8
27,38,76,383,7,28.5,14.7
27,38,76,381,7,28.5,14.8
27,38,76,383,7,28.5,14.7
27,38,76,382,7,28.5,14.7
27,38,76,381,7,28.5,14.7
27,38,76,383,7,28.5,14.7
27,37.95,75.95,382.05,7,28.5,14.715
