nitrogen,phosporous,potassium,ec,ph,temp,hum
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.5
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.5
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.5
0,0,0,0,6.71,26.2,13.5
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.5
0,0,0,0,6.71,26.2,13.5
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.4
0,0,0,0,6.71,26.2,13.43
