nitrogen,phosporous,potassium,ec,ph,temp,hum
38,53,107,535,7,28.1,15.8
38,53,106,534,7,28.1,15.8
38,53,106,534,7,28.1,15.8
38,53,106,533,7,28.1,15.9
38,53,106,532,7,28.1,15.9
38,53,107,535,7,28.1,15.8
38,53,106,534,7,28.1,15.9
38,53,107,535,7,28.1,15.9
38,53,106,533,7,28.1,15.8
38,53,107,535,7,28.1,15.8
38,53,106,533,7,28.1,15.9
38,53,106,533,7,28.1,15.9
38,53,106,534,7,28.1,15.9
38,53,107,535,7,28.1,15.8
38,53,107,535,7,28.1,15.9
38,53,106,534,7,28.1,15.9
38,53,107,535,7,28.1,15.8
38,53,107,534,7,28.1,15.9
38,53,107,536,7,28.1,15.8
38,53,106,534,7,28.1,15.9
38,53,106.45,534.15,7,28.1,15.855
