nitrogen,phosporous,potassium,ec,ph,temp,hum
107,148,297,1517,6.06,27,21.9
107,150,300,1502,6.06,27.2,22.1
108,154,309,1548,6.08,27.3,22
108,151,300,1502,6.08,27.4,22
107,150,300,1502,6.08,27.4,22
107,150,300,1564,6.11,27.4,21.9
105,147,294,1473,6.11,27.4,21.9
110,154,309,1548,6.01,27.4,22
108,151,309,1548,6.01,27.4,22
108,145,291,1473,6.01,27.4,22
111,156,306,1533,6.01,27.4,22.1
107,151,303,1517,6.01,27.4,21.9
110,154,309,1533,6.01,27.4,21.9
105,147,291,1459,6.01,27.4,22
106,148,297,1473,6.01,27.4,21.9
108,151,300,1502,6.01,27.4,22
110,157,315,1564,6.01,27.4,22.1
106,148,300,1502,6.01,27.4,22
109,154,309,1548,6.01,27.4,21.9
108,151,303,1517,6.01,27.4,21.9
107.75,150.85,302.1,1516.25,6.0355,27.365,21.975
