nitrogen,phosporous,potassium,ec,ph,temp,hum
89,125,251,1256,6.08,27.7,23.7
88,123,253,1268,6.08,27.7,23.7
91,129,258,1291,6.08,27.7,23.6
92,129,258,1279,6.08,27.7,23.5
91,127,255,1279,6.08,27.7,23.6
92,129,258,1279,6.08,27.7,23.8
91,127,249,1245,6.08,27.7,23.7
90,127,255,1279,6.05,27.7,23.8
90,126,255,1279,6.05,27.7,23.8
93,131,262,1314,6.05,27.7,23.7
90,126,253,1303,6.05,27.7,23.7
91,127,253,1268,6.05,27.7,23.6
92,129,258,1279,6.05,27.7,23.6
89,125,253,1268,6.05,27.7,23.7
92,126,253,1291,6.05,27.7,23.7
88,124,251,1256,6.05,27.7,23.8
91,129,258,1291,6.05,27.8,23.8
91,127,255,1279,6.05,28,23.8
93,130,255,1279,6.05,28.1,23.6
91,129,258,1314,6.05,28.1,23.7
90.75,127.25,255.05,1279.85,6.0605,27.76,23.695
